number,description,gauge,set,image
6019,"track, uncoupling/operating",0-27,1423W,6019_web.jpg
6024,"boxcar, Nabisco",,1581,
6025,"tank car, Gulf, single dome, black or orange",,1545,
6027,"caboose, SP type, Alaska",,1611,
6029,"track, uncoupling",0-27,1000W,
6032,"gondola, black",,1465,
6035,"tank car, Sunoco single dome",,1465,
6037,"caboose, SP type",,1465,
6042,"gondola with canisters, blue",,1105,
6043,"gondola with canisters, black",,,#N/A
6044,"boxcar, Airex, blue",,1105,
6045,"tank car, two dome, gray, Lionel Lines",,1105,
6047,"caboose, SP type, red",,1105,
6050,savings bank car,,1643,
6057,"caboose, SP type, orange or unstamped brown",,1609,
6058,"caboose, SP type, C & O",,1643,
6059,"caboose, SP type, M & SL, red or brown",,1645,
6062,"gondola with cable reels, black",,1621WS,
6076,"hopper, Lehigh Valley, red or black",,1124,
6110,"locomotive, scout, 2-4-2",0-27,1461S,
6111,"flatcar with logs, yellow",,1525,
6112,"gondola with canisters, black, white, or blue",,1543,
6119,"caboose, work, red",,1527,
6120,"caboose, unstamped work, yellow",,1125,
6121,flatcar with pipes,,1543,
6130,"caboose, work, Santa Fe",,2570,
6139,"track, uncoupling",0-27,11331,
6142,"gondola with two canisters, green, blue, or unstamped green",,11331,
6149,"track, uncoupling",0-27,11430,
6151,"flatcar, metal, with Range Patrol vehicle",,1590,
6162,"gondola with three canisters, blue",,1641,
6167,"caboose, SP type, unstamped, red or yellow",,11001,
6175,flatcar with rocket,,2545WS,
6176,"hopper, unstamped, yellow or black",,11430,
6219,"caboose, work, C & O",,1629,
6220,"locomotive, diesel switcher SF bell ringing",0-27,1457B,6220_web.jpg
6250,"locomotive, switcher, Seaboard",0-27,1523,6250_web.jpg
6257,"caboose, SP  type",,1423W,
6262,flatcar with wheels,,1549,
6264,flatcar with lumber,,2297WS,
6311,"flatcar with pipes, brown",,1529,
6315,"tank car, Gulf chemical",,2269W,
6342,"gondola, culvert",,2273W,
6343,barrel ramp car,,1646,
6346,"hopper, covered, Alcoa",,1553W,
6356,stock car,,1519WS,
6357,"caboose, illuminated, SP type",,1429WS,
6361,flatcar with timber,,1635WS,
6362,flatcar with rail trucks,,2235W,
6376,"stock car, circus",,2261WS,
6402,"flatcar, general type with cable reels or boat, gray or maroon",,11001,
6404,"flatcar, black with brown gray-bumpered auto",,1109,
6405,flatcar with yellow van,,1642,
6406,"flatcar, gray or maroon general style, with gray-bumpered auto",,1123,
6407,flatcar with rocket,,11341,
6408,"flatcar with pipes, red",,11351,
6411,flatcar with logs,,1449WS,
6413,"capsule carrier, Mercury",,11232,
6414,auto loader,,2239W,
6415,"tank car, Sunoco, three dome",,1505WS,
6416,boat loader,,2573,
6417,"caboose, Pennsy, porthole",,2203WS,
6419,"caboose, work",,1447WS,
6424,flatcar with autos,,1545,
6425,"tank car, Gulf, three dome",,1551W,
6427,"caboose, porthole, Lionel Lines",,1517W,
6428,"boxcar, U.S. Mail",,12800,
6429,"caboose, work, die-cast",,13118,
6430,flatcar with vans,,1553W,
6431,flatcar with vans and Midge Toy tractor,,12840,
6434,poultry car,,2503WS,
6436,"hopper, quad, Lehigh Valley",,1529,
6437,"caboose, illuminated, Pennsylvania porthole",,2574,
6440,"passenger car, pullman, green",,1426WS,
6441,"passenger, car, observation, green",,1426WS,
6442,"passenger car, pullman, brown",,,#N/A
6443,"passenger car, observation, brown",,,#N/A
6445,"bullion car, Ft Knox",,1649,
6446,"hopper car, N&W covered",,1539W,
6447,"caboose, Pennsylvania porthole, non-illuminated",,13098,
6448,"boxcar, exploding",,1647,
6452,gondola,,1423W,
6454,boxcar,,1427WS,
6456,"hopper, Lehigh Valley, black or maroon",,1425B,
6457,"caboose, illuminated, SP type",,2147WS,
6461,flatcar with transformer,,,#N/A
6462,"gondola, black or green with barrels",,1451WS,
6463,"tank car, rocket fuel",,11252,
6465,"tank car, Sunoco, Lionel Lines, or Cities Service two dome, gray or orange",,1423W,
6467,"bulkhead car, miscellaneous",,1563W,
6468,"automobile car, B&O double door",,1507WS,
6469,"bulkhead car, liquified gas",,11395,
6470,"boxcar, exploding",,1625WS,
6472,refrigerator car,,1475WS,
6473,rodeo car,,11278,
6475,"vat car, pickle",,1637W,
6476,"hopper, Lehigh Valley, red, grey, yellow, or black",,1571,
6477,"bulkhead car, miscellaneous, with plastic pipes",,2279W,
6480,"boxcar, exploding",,1125,
6482,refrigerator car,,1583WS,
6500,"flatcar, black with red/white airplane",,13018,
6501,flatcar with jet motorboat,,11268,
6502,"flatcar with girder, black or blue",,11201,
6511,"flatcar, with pipes, red",,1523,
6512,cherry picker car,,11288,
6517,"caboose, bay window",,2239W,
6518,"flatcar, depressed center, double trucks, transformer",,2269W,
6519,"condenser car, Allis Chalmers",,2505W,
6520,searchlight car,,1457B,
6530,fire prevention car,,1639WS,
6536,"hopper, M & SL quad",,2503WS,
6544,missile firing car,,1633,
6555,"tank car, Sunoco, single dome",,2151W,
6556,"stock car, Katy",,2513W,
6557,"caboose, smoking",,2519W,
6560,"crane, grey or red cab",,1527,
6561,"flatcar, depressed center, w/ cable reels",,1517W,
6572,"reefer, Railway Express Agency, dark green",,1600,
6630,"flatcar with IRBM launcher, black",,1125,
6636,"hopper, Alaska",,1625WS,
6640,"flatcar, olive, with I.R.B.M. launcher",,1805,
6646,"stock car, orange",,1583WS,
6650,flatcar with IRBM launcher,,1625WS,
6656,stock car,,1467W,
6657,"caboose, illuminated, Rio Grande, SP type",,2291W,
6660,flatcar with boom crane,,1593,
6672,"reefer, SF",,2239W,
6736,"hopper car, Detroit and Mackinac",,2551W,
6800,"flatcar with airplane, Beechcraft, black and yellow",,1601W,
6801,"flatcar with boat, cream deck and clear windshield",,1599,
6802,flatcar with U.S. Steel bridge,,208P,
6804,flatcar with U.S.M.C. trucks (microwave disc and two guns),,1595,
6805,"flatcar, atomic disposal",,2505W,
6806,flatcar with U.S.M.C. trucks (microwave disc and two guns),,1595,
6807,flatcar with military DKW amphibious boat,,1591,
